iter	RMSE
213	35351.27366
214	35309.77223
215	35263.58964
216	35235.16822
217	35223.62835
218	35193.51596
219	35147.48141
220	35104.69937
221	35036.38701
222	35012.23844
223	35001.21059
224	34970.33147
225	34906.96374
226	34896.04254
227	34867.86862
228	34849.80255
229	34810.57123
230	34780.05541
231	34769.47944
232	34764.80452
233	34745.99743
234	34722.93397
235	34663.04569
236	34622.96296
237	34610.74082
238	34590.5005
239	34580.72209
240	34536.95149
241	34495.05259
242	34451.34007
243	34388.66434
244	34349.48465
245	34332.92963
246	34312.66095
247	34289.77806
248	34242.41248
249	34234.65579
250	34202.04379
251	34173.10688
252	34127.39323
253	34114.38314
254	34066.74819
255	34058.57277
256	34022.08543
257	34013.05857
258	33988.351
259	33984.98938
260	33959.7807
261	33957.55107
262	33925.73437
263	33905.76894
264	33879.69448
265	33857.58334
266	33809.88117
267	33774.07314
268	33761.91254
269	33750.00449
270	33703.46692
271	33669.67867
272	33660.04702
273	33641.19159
274	33620.87356
275	33589.4209
276	33578.45345
277	33554.73587
278	33542.2032
279	33522.86418
280	33514.55788
281	33489.95349
282	33476.58976
283	33445.42545
284	33429.96497
285	33390.43115
286	33379.24543
287	33362.95448
288	33349.96365
289	33311.93966
290	33302.5056
291	33281.00517
292	33263.21836
293	33238.28963
294	33213.47342
295	33175.24022
296	33153.90061
297	33142.91069
298	33139.44376
299	33114.28659
300	33081.59153
301	33060.87709
302	33052.20054
303	33024.3909
304	32995.47814
305	32976.00305
306	32974.08917
307	32964.96863
308	32956.49917
309	32943.15946
310	32919.38622
311	32878.82006
312	32847.75956
313	32842.52358
314	32824.51093
315	32818.96121
316	32779.31097
317	32762.4362
318	32745.35175
319	32735.49447
320	32696.22709
321	32689.33309
322	32671.25628
323	32654.94619
324	32644.77436
325	32638.02812
326	32629.71384
327	32605.32095
328	32597.95993
329	32574.32236
330	32552.0393
331	32508.15434
332	32488.5692
333	32458.06525
334	32445.23189
335	32422.00017
336	32408.55292
337	32390.82181
338	32378.66393
339	32361.87849
340	32345.65411
341	32332.82402
342	32295.40432
343	32280.98055
344	32276.6363
345	32271.79043
346	32252.78996
347	32231.62076
348	32218.5159
349	32199.6115
350	32194.82082
351	32176.52266
352	32156.41201
353	32155.00146
354	32130.10885
355	32100.74482
356	32064.5418
357	32055.62092
358	32049.17371
359	32014.51571
360	32003.93852
361	31992.22462
362	31973.57976
363	31946.24244
364	31930.69314
365	31912.40634
366	31896.01709
367	31876.67702
368	31865.55327
369	31864.23687
370	31848.35851
371	31832.11617
372	31820.79288
373	31819.52078
374	31795.62042
375	31794.56023
376	31771.06927
377	31739.18936
378	31729.21001
379	31712.84163
380	31692.86996
381	31691.76496
382	31683.39839
383	31663.60667
384	31662.79093
385	31640.18716
386	31622.19117
387	31604.97115
388	31603.63439
389	31583.2381
390	31558.69016
391	31537.28357
392	31501.98545
393	31475.56217
394	31459.20616
395	31452.84376
396	31433.00334
397	31423.63098
398	31404.91395
399	31387.66147
400	31386.84914
401	31347.88273
402	31333.30929
403	31323.8306
404	31287.44019
405	31273.13058
406	31254.16595
407	31249.95867
408	31231.47621
409	31218.52781
410	31189.62132
411	31175.61861
412	31134.33373
413	31107.9902
414	31071.29308
415	31059.87091
416	31036.5484
417	31035.68328
418	31002.26619
419	30988.43046
420	30973.32371
421	30942.28004
422	30922.96403
423	30912.84811
424	30897.84811
425	30873.50886
426	30863.68924
427	30857.29428
428	30825.49721
429	30809.18434
430	30801.87566
431	30788.82533
432	30783.73494
433	30782.79658
434	30763.63779
435	30750.87021
436	30735.73709
437	30721.04969
438	30706.89312
439	30690.02419
440	30674.50053
441	30662.28591
442	30647.69526
443	30634.92989
444	30601.00208
445	30582.21598
446	30558.90396
447	30543.71519
448	30525.5826
449	30508.23891
450	30507.57588
451	30492.45529
452	30491.77121
453	30485.55386
454	30469.02007
455	30466.58182
456	30465.97507
457	30455.18886
458	30419.76783
459	30414.87467
460	30397.72079
461	30391.52413
462	30376.48514
463	30345.56908
464	30328.78139
465	30311.45508
466	30292.89862
467	30285.11247
468	30273.87731
469	30236.67283
470	30219.21757
471	30194.01069
472	30183.88616
473	30164.82297
474	30149.12231
475	30131.64286
476	30104.30762
477	30092.81733
478	30081.45525
479	30068.34582
480	30067.54484
481	30062.17617
482	30025.79096
483	30010.39251
484	29979.47719
485	29952.1561
486	29942.4235
487	29923.88066
488	29919.42352
489	29915.01405
490	29908.77673
491	29894.48269
492	29877.74708
493	29862.66703
494	29834.52034
495	29809.83539
496	29798.23891
497	29787.47895
498	29786.54376
499	29774.19732
500	29752.34756
501	29732.42721
502	29720.81264
503	29703.91271
504	29690.40987
505	29674.4415
506	29644.46681
507	29635.82114
508	29623.59128
509	29621.44755
510	29607.87759
511	29597.67402
512	29595.51796
513	29571.90684
514	29551.07232
515	29545.78127
516	29525.59541
517	29505.26276
518	29489.45046
519	29472.88796
520	29457.79119
521	29436.69708
522	29422.02968
523	29416.9535
524	29397.47335
525	29373.28513
526	29352.73373
527	29350.12749
528	29326.08718
529	29314.70752
530	29314.20444
531	29296.36465
532	29278.43765
533	29262.67877
534	29251.1673
535	29230.0358
536	29220.24582
537	29208.8344
538	29193.96325
539	29173.31375
540	29153.69515
541	29137.4261
542	29120.94188
543	29101.08964
544	29088.93739
545	29082.4823
546	29057.57742
547	29047.33525
548	29036.80585
549	29018.87167
550	29018.20013
551	29012.81006
552	28998.76825
553	28991.95896
554	28970.88146
555	28952.13772
556	28942.08523
557	28917.03509
558	28889.21239
559	28876.50372
560	28865.50248
561	28852.29359
562	28831.67811
563	28805.78502
564	28789.10152
565	28771.26625
566	28763.37303
567	28752.12282
568	28741.84972
569	28725.58667
570	28710.95244
571	28708.82768
572	28693.72827
573	28683.64425
574	28670.05308
575	28642.44055
576	28625.33627
577	28613.12145
578	28611.42773
579	28592.60551
580	28566.61421
581	28556.73239
582	28550.1454
583	28540.53558
584	28537.4487
585	28520.48551
586	28510.95423
587	28487.62236
588	28466.33882
589	28454.05153
590	28446.48504
591	28446.06566
592	28437.24287
593	28420.3138
594	28419.96656
595	28411.45859
596	28398.82634
597	28378.29698
598	28370.86736
599	28361.42793
600	28346.99141
601	28346.57518
602	28330.77265
603	28313.63564
604	28287.68991
605	28276.72199
606	28258.23333
607	28257.85821
608	28241.33396
609	28234.10657
610	28227.23653
611	28210.09475
612	28194.38682
613	28193.48368
614	28168.24968
615	28160.91611
616	28149.84833
617	28134.83337
618	28116.81011
619	28094.7343
620	28078.4638
621	28057.6937
622	28047.02467
623	28034.92846
624	28013.87024
625	28013.48749
626	28012.90109
627	28012.61663
628	27990.10168
629	27977.00446
630	27972.52921
631	27970.81392
632	27969.86531
633	27952.40186
634	27948.86365
635	27929.46228
636	27910.49687
637	27895.35932
638	27877.96211
639	27877.59573
640	27877.23323
641	27866.31894
642	27853.69183
643	27841.63983
644	27828.78536
645	27821.52487
646	27794.95641
647	27793.72271
648	27781.09581
649	27765.91272
650	27747.31292
651	27728.10307
652	27712.30255
653	27698.9093
654	27698.57188
655	27688.00418
656	27674.98964
657	27674.81776
658	27667.20145
659	27643.84151
660	27643.37817
661	27634.83908
662	27625.53826
663	27609.12047
664	27605.52852
665	27585.02146
666	27577.63656
667	27575.6536
668	27563.02045
669	27549.0299
670	27541.29229
671	27540.66986
672	27538.33924
673	27517.68697
674	27513.81753
675	27503.65022
676	27490.11006
677	27478.52114
678	27470.68547
679	27451.23867
680	27438.48792
681	27438.17116
682	27428.01257
683	27427.60703
684	27412.11487
685	27410.61197
686	27404.81842
687	27379.66039
688	27364.31125
689	27353.42277
690	27353.15649
691	27347.00072
692	27341.4486
693	27335.20573
694	27320.34527
695	27312.48176
696	27306.66961
697	27295.84485
698	27285.02342
699	27272.14862
700	27271.15292
701	27266.27474
702	27266.02615
703	27246.80865
704	27246.59437
705	27246.34062
706	27228.62064
707	27228.41518
708	27205.8318
709	27196.73658
710	27184.45792
711	27175.88557
712	27172.19323
713	27171.9056
714	27169.6524
715	27169.29167
716	27153.87572
717	27132.76027
718	27129.54581
719	27109.11791
720	27102.19486
721	27088.88574
722	27079.48005
723	27079.25517
724	27071.92194
725	27059.74168
726	27036.06219
727	27024.59303
728	27012.54738
729	26998.5435
730	26972.16853
731	26966.08654
732	26958.18988
733	26948.59137
734	26948.15034
735	26937.09315
736	26927.25658
737	26917.60668
738	26916.98371
739	26916.64932
740	26905.319
741	26895.12232
742	26878.15749
743	26872.36526
744	26859.86466
745	26844.46873
746	26827.99784
747	26817.30086
748	26814.24159
749	26814.05951
750	26800.73388
751	26791.20885
752	26772.0693
753	26767.45424
754	26758.39454
755	26741.43673
756	26731.78066
757	26731.51387
758	26718.37821
759	26699.58641
760	26686.31845
761	26671.69151
762	26659.86045
763	26645.2879
764	26628.04926
765	26617.21083
766	26617.07534
767	26606.19498
768	26595.12925
769	26588.25383
770	26574.30464
771	26558.04096
772	26542.0883
773	26537.41574
774	26519.45426
775	26519.10446
776	26504.24664
777	26495.38392
778	26493.63739
779	26487.29109
780	26469.06758
781	26459.08785
782	26458.93988
783	26455.85262
784	26443.30855
785	26434.14083
786	26419.65814
787	26405.61748
788	26405.34299
789	26388.65149
790	26379.86374
791	26372.42539
792	26359.90282
793	26351.05444
794	26350.22626
795	26338.75509
796	26338.34341
797	26322.54052
798	26309.08333
799	26294.05818
800	26282.18083
801	26270.63923
802	26245.73154
803	26237.3143
804	26230.83418
805	26214.34212
806	26208.28661
807	26194.04935
808	26193.68031
809	26184.34322
810	26184.19013
811	26174.46105
812	26167.83361
813	26167.38088
814	26154.98644
815	26153.81682
816	26153.66559
817	26131.47587
818	26123.3319
819	26120.26565
820	26114.57989
821	26086.19567
822	26067.90316
823	26059.41182
824	26052.84414
825	26044.22973
826	26035.59356
827	26024.54751
828	26007.25295
829	25998.75523
830	25987.59077
831	25981.36754
832	25979.73308
833	25975.98058
834	25964.60354
835	25964.42485
836	25959.45003
837	25958.05202
838	25957.89878
839	25955.88697
840	25946.26867
841	25938.72022
842	25923.95779
843	25921.63401
844	25916.12601
845	25915.89835
846	25913.62208
847	25901.84346
848	25885.23802
849	25873.98978
850	25865.07387
851	25846.15999
852	25833.47553
853	25819.30975
854	25802.98173
855	25793.8968
856	25789.15179
857	25784.97854
858	25775.67805
859	25767.66987
860	25746.41772
861	25742.36953
862	25731.7796
863	25731.63877
864	25718.44501
865	25700.54119
866	25695.46
867	25675.50401
868	25667.36102
869	25653.61702
870	25641.10753
871	25620.8701
872	25604.16114
873	25591.4171
874	25587.1725
875	25568.59635
876	25557.83862
877	25548.57193
878	25532.59302
879	25526.02803
880	25512.3924
881	25503.01949
882	25486.97787
883	25475.20099
884	25457.23237
885	25444.28023
886	25436.7942
887	25418.75045
888	25408.87185
889	25398.81253
890	25389.45231
891	25382.60715
892	25370.20277
893	25364.46901
894	25352.26456
895	25340.93324
896	25338.39432
897	25326.71663
898	25314.45656
899	25309.25159
900	25291.92332
901	25289.5912
902	25285.73959
903	25277.53612
904	25272.59832
905	25262.77905
906	25245.9401
907	25233.18986
908	25227.36166
909	25218.86029
910	25204.79996
911	25195.62369
912	25178.52137
913	25172.36198
914	25166.61879
915	25154.62546
916	25142.65573
917	25126.2299
918	25115.39999
919	25101.20332
920	25083.49657
921	25082.55082
922	25077.72164
923	25071.92319
924	25055.81878
925	25048.96023
926	25041.76341
927	25032.91136
928	25024.38125
929	25018.72592
930	25006.86462
931	24993.57836
932	24988.03243
933	24980.19697
934	24971.72569
935	24963.59023
936	24954.0265
937	24942.25038
938	24937.2725
939	24929.28416
940	24914.12212
941	24906.98531
942	24901.53353
943	24895.9359
944	24885.88917
945	24869.32897
946	24857.48446
947	24850.13501
948	24831.54264
949	24820.47104
950	24805.86067
951	24795.27017
952	24782.04204
953	24781.11884
954	24771.04706
955	24756.55709
956	24743.17434
957	24730.95536
958	24726.53647
959	24720.85438
960	24710.20788
961	24698.06042
962	24685.21252
963	24676.40124
964	24671.59811
965	24660.35198
966	24654.11782
967	24647.91115
968	24643.54866
969	24638.97701
970	24634.12371
971	24624.92997
972	24614.1735
973	24602.7994
974	24601.07459
975	24600.71915
976	24592.01161
977	24582.30115
978	24575.40107
979	24575.31694
980	24566.47779
981	24556.99726
982	24549.59266
983	24541.40829
984	24536.79683
985	24530.72769
986	24521.40974
987	24521.01984
988	24520.9016
989	24512.3115
990	24503.88236
991	24503.66106
992	24502.74575
993	24490.11669
994	24488.50231
995	24468.97317
996	24459.04972
997	24458.72843
998	24448.99819
999	24440.74227
